Matrix order, Jacobi Sequential, Jacobi Paralell, Seidel Sequential, Seidel Parallel, Seidel Unstable
3744, 611.840850, 324.807400, 510.963900, 336.358100, 266.023950
3745, 617.180500, 318.493300, 514.809500, 333.363950, 262.687450
3746, 617.498550, 319.746350, 516.632250, 402.220050, 278.389750
3747, 615.363100, 326.313900, 617.230350, 400.245300, 270.368600
3748, 614.182750, 324.115350, 512.384100, 336.880850, 270.779150
3749, 614.674400, 322.174400, 516.310550, 332.584400, 272.033650
3750, 619.503900, 321.592950, 518.951250, 330.875050, 267.508300
3751, 621.334550, 321.814950, 519.981200, 333.957200, 271.794700
3752, 614.638700, 323.232150, 515.849900, 333.522750, 264.747100
3753, 617.888850, 321.709200, 517.940200, 330.420700, 270.366950
3754, 618.186200, 320.697850, 517.370650, 335.401200, 267.800650
3755, 620.721400, 317.348600, 518.970500, 335.210750, 266.893650
3756, 625.378750, 318.768800, 523.111300, 333.633050, 264.921100
3757, 618.113600, 320.787600, 519.006050, 337.700000, 295.365750
3758, 521.040700, 267.432650, 523.659550, 335.937500, 267.803350
3759, 623.342100, 325.189200, 520.958100, 335.848800, 287.462400
3760, 619.360200, 322.098050, 517.308450, 338.684050, 266.101450
3761, 619.711850, 322.365100, 623.891600, 406.838700, 311.974450
3762, 621.596350, 324.946850, 621.756600, 402.978950, 302.621200
3763, 620.578800, 326.924600, 518.364450, 338.830150, 271.142750
3764, 619.887200, 325.931800, 518.351300, 404.003150, 268.331800
3765, 620.217600, 324.479300, 518.909650, 335.431100, 271.003050
3766, 619.753750, 325.150650, 518.594800, 336.759650, 271.512400
3767, 620.635900, 325.692450, 520.065150, 334.102500, 273.534800
3768, 622.024800, 325.323150, 520.188000, 335.508500, 268.536050
3769, 620.496050, 327.470750, 521.524200, 337.786050, 269.467200
3770, 520.142450, 269.161250, 521.818750, 338.570350, 268.613750
3771, 623.791100, 328.013950, 521.942400, 335.526800, 270.552200
3772, 629.500850, 322.686500, 527.004000, 340.396400, 268.901400
3773, 621.441400, 328.567200, 621.437850, 337.749450, 269.911450
3774, 631.588200, 324.998050, 529.858500, 340.475250, 269.609500
3775, 634.852550, 322.830300, 532.075200, 338.668850, 270.920100
3776, 622.932050, 325.212050, 521.105600, 337.892100, 270.221000
3777, 726.545950, 383.143700, 626.840650, 338.797100, 319.218850
3778, 622.633550, 330.682850, 520.298000, 337.070500, 271.764000
3779, 628.706050, 325.571000, 525.928650, 335.907550, 269.899450
3780, 633.119050, 322.318250, 634.169000, 337.537500, 268.824250
3781, 526.164850, 271.900000, 525.360100, 341.767650, 271.142450
3782, 630.036950, 328.121150, 526.923050, 408.372250, 323.602350
3783, 629.341050, 328.217550, 629.878450, 338.534250, 272.633750
3784, 626.562250, 328.779650, 522.699800, 341.031650, 271.758800
